Time(sec),Battery Power(W)
23.3,-45000
23.4,-25000
23.5,-45000
23.6,-25000
23.7,-30000
23.8,-20000
23.9,0
24,0
24.1,0
24.2,0
24.3,0
24.4,0
24.5,0
24.6,0
24.7,0
24.8,0
24.9,0
25,0
25.1,0
25.2,0
25.3,0
25.4,0
25.5,0
25.6,0
25.7,80000
25.8,90000
25.9,80000
26,80000
26.1,80000
26.2,80000
26.3,75000
26.4,75000
26.5,75000
26.6,70000
26.7,70000
26.8,75000
26.9,75000
27,75000
27.1,75000
27.2,80000
27.3,80000
27.4,80000
27.5,80000
27.6,80000
27.7,80000
27.8,80000
27.9,80000
28,80000
28.1,80000
28.2,75000
28.3,75000
28.4,75000
28.5,75000
28.6,75000
28.7,75000
28.8,75000
28.9,80000
29,80000
29.1,80000
29.2,80000
29.3,80000
29.4,80000
29.5,80000
29.6,80000
29.7,80000
29.8,80000
29.9,85000
30,60000
30.1,60000
30.2,60000
30.3,60000
30.4,60000
30.5,60000
30.6,60000
30.7,60000
30.8,60000
30.9,60000
31,60000
31.1,60000
31.2,60000
31.3,60000
31.4,60000
31.5,60000
31.6,60000
31.7,60000
31.8,60000
31.9,60000
32,60000
32.1,60000
32.2,60000
32.3,0
32.4,0
32.5,0
32.6,0
32.7,0
32.8,0
32.9,0
33,0
33.1,0
33.2,0
33.3,0
33.4,0
33.5,0
33.6,0
33.7,0
33.8,-55000
33.9,-55000
34,-55000
34.1,-55000
34.2,-55000
34.3,-55000
34.4,-50000
34.5,-50000
34.6,-50000
34.7,-50000
34.8,-50000
34.9,-50000
35,-50000
35.1,-50000
35.2,-50000
35.3,-45000
35.4,-45000
35.5,-45000
35.6,-45000
35.7,-45000
35.8,-5000
35.9,-5000
36,-5000
36.1,-5000
36.2,-5000
36.3,-5000
36.4,-5000
36.5,0
36.6,0
36.7,0
36.8,0
36.9,0
37,0
37.1,0
37.2,0
37.3,0
37.4,0
37.5,0
37.6,0
37.7,0
37.8,0
37.9,0
38,0
38.1,0
38.2,0
38.3,0
38.4,0
38.5,0
38.6,0
38.7,0
38.8,0
38.9,0
39,0
39.1,0
39.2,0
39.3,0
39.4,0
39.5,0
39.6,0
39.7,0
39.8,0
39.9,0
40,0
40.1,0
40.2,0
40.3,0
40.4,0
40.5,0
40.6,0
40.7,0
40.8,0
40.9,0
41,0
41.1,0
41.2,0
41.3,0
41.4,0
41.5,0
41.6,0
41.7,0
41.8,0
41.9,0
42,0
42.1,0
42.2,0
42.3,0
42.4,0
42.5,0
42.6,0
42.7,0
42.8,0
42.9,0
43,0
43.1,0
43.2,0
43.3,0
43.4,0
43.5,0
43.6,0
43.7,0
43.8,0
43.9,0
44,0
44.1,0
44.2,0
44.3,0
44.4,0
44.5,0
44.6,0
44.7,0
44.8,0
44.9,0
45,0
45.1,0
45.2,0
45.3,0
45.4,0
45.5,0
45.6,-50000
45.7,-45000
45.8,-45000
45.9,-50000
46,0
46.1,0
46.2,0
46.3,0
46.4,0
46.5,0
46.6,0
46.7,0
46.8,0
46.9,0
47,0
47.1,0
47.2,0
47.3,0
47.4,0
47.5,0
47.6,0
47.7,0
47.8,0
47.9,0
48,0
48.1,0
48.2,0
48.3,0
48.4,0
48.5,0
48.6,0
48.7,0
48.8,0
48.9,0
49,0
49.1,0
49.2,0
49.3,0
49.4,0
49.5,0
49.6,0
49.7,0
49.8,0
49.9,0
50,0
50.1,0
50.2,0
50.3,0
50.4,0
50.5,0
50.6,0
50.7,0
50.8,0
50.9,0
51,0
51.1,-35000
51.2,-50000
51.3,-50000
51.4,-50000
51.5,-50000
51.6,-50000
51.7,-50000
51.8,-50000
51.9,-60000
52,-60000
52.1,-60000
52.2,-60000
52.3,-60000
52.4,-60000
52.5,-60000
52.6,-30000
52.7,-30000
52.8,0
52.9,0
53,0
53.1,0
53.2,0
53.3,0
53.4,0
53.5,0
53.6,0
53.7,0
53.8,0
53.9,0
54,0
54.1,0
54.2,0
54.3,0
54.4,0
54.5,0
54.6,0
54.7,0
54.8,0
54.9,0
55,0
55.1,0
55.2,0
55.3,0
55.4,0
55.5,0
55.6,-30000
55.7,-30000
55.8,-30000
55.9,-30000
56,-30000
56.1,-30000
56.2,0
56.3,0
56.4,0
56.5,0
56.6,0
56.7,0
56.8,0
56.9,0
57,0
57.1,0
57.2,0
57.3,0
57.4,0
57.5,0
57.6,0
57.7,0
57.8,0
57.9,0
58,0
58.1,0
58.2,0
58.3,0
58.4,0
58.5,0
58.6,0
58.7,0
58.8,0
58.9,0
59,0
59.1,0
59.2,0
59.3,0
59.4,0
59.5,0
59.6,0
59.7,0
59.8,0
59.9,0
60,0
60.1,-50000
60.2,-50000
60.3,-50000
60.4,-50000
60.5,-50000
60.6,-50000
60.7,-50000
60.8,-50000
60.9,-40000
61,-40000
61.1,-40000
61.2,-40000
61.3,-40000
61.4,-20000
61.5,-20000
61.6,-20000
61.7,-20000
61.8,-20000
61.9,-20000
62,-20000
62.1,0
62.2,0
62.3,0
62.4,0
62.5,0
62.6,0
62.7,0
62.8,0
62.9,0
63,0
63.1,0
63.2,0
63.3,0
63.4,0
63.5,0
63.6,0
63.7,0
63.8,0
63.9,0
64,0
64.1,0
64.2,0
64.3,0
64.4,0
64.5,0
64.6,0
64.7,0
64.8,0
64.9,0
65,0
65.1,0
65.2,0
65.3,0
65.4,0
65.5,0
65.6,0
65.7,0
65.8,0
65.9,0
66,0
66.1,0
66.2,0
66.3,0
66.4,0
66.5,0
66.6,0
66.7,0
66.8,0
66.9,0
67,0
67.1,0
67.2,0
67.3,0
67.4,0
67.5,0
67.6,0
67.7,0
67.8,0
67.9,0
68,0
68.1,0
68.2,0
68.3,0
68.4,0
68.5,0
68.6,0
68.7,0
68.8,0
68.9,0
69,0
69.1,0
69.2,0
69.3,0
69.4,0
69.5,0
69.6,0
69.7,0
69.8,0
69.9,0
70,0
70.1,0
70.2,0
70.3,0
70.4,0
70.5,0
70.6,0
70.7,0
70.8,0
70.9,0
71,0
71.1,0
71.2,0
71.3,0
71.4,40000
71.5,40000
71.6,40000
71.7,40000
71.8,40000
71.9,40000
72,40000
72.1,40000
72.2,40000
72.3,40000
72.4,40000
72.5,40000
72.6,40000
72.7,40000
72.8,40000
72.9,40000
73,40000
73.1,40000
73.2,30000
73.3,30000
73.4,30000
73.5,30000
73.6,30000
73.7,0
73.8,0
73.9,0
74,0
74.1,0
74.2,0
74.3,0
74.4,0
74.5,0
74.6,-55000
74.7,-55000
74.8,-55000
74.9,-55000
75,-55000
75.1,-55000
75.2,-50000
75.3,-50000
75.4,-50000
75.5,-50000
75.6,-50000
75.7,-50000
75.8,-50000
75.9,-50000
76,-50000
76.1,-45000
76.2,-45000
76.3,-45000
76.4,-45000
76.5,-45000
76.6,-5000
76.7,-5000
76.8,-5000
76.9,-5000
77,-5000
77.1,-5000
77.2,-5000
77.3,0
77.4,0
77.5,0
77.6,0
77.7,0
77.8,0
77.9,0
78,0
78.1,0
78.2,0
78.3,0
78.4,0
78.5,0
78.6,0
78.7,0
78.8,0
78.9,0
79,0
79.1,0
79.2,0
79.3,0
79.4,0
79.5,0
79.6,0
79.7,0
79.8,0
79.9,0
80,0
80.1,0
80.2,0
80.3,0
80.4,0
80.5,0
80.6,0
80.7,0
80.8,0
80.9,0
81,0
81.1,0
81.2,0
81.3,0
81.4,0
81.5,0
81.6,0
81.7,0
81.8,0
81.9,0
82,0
82.1,0
82.2,0
82.3,0
82.4,0
82.5,0
82.6,0
82.7,0
82.8,0
82.9,0
83,0
83.1,0
83.2,0
83.3,0
83.4,85000
83.5,85000
83.6,85000
83.7,85000
83.8,85000
83.9,85000
84,85000
84.1,85000
84.2,85000
84.3,85000
84.4,85000
84.5,75000
84.6,75000
84.7,75000
84.8,75000
84.9,75000
85,75000
85.1,75000
85.2,75000
85.3,75000
85.4,75000
85.5,75000
85.6,75000
85.7,0
85.8,0
85.9,0
86,0
86.1,0
86.2,0
86.3,0
86.4,0
86.5,0
86.6,0
86.7,0
86.8,0
86.9,0
87,0
87.1,0
87.2,0
87.3,0
87.4,0
87.5,0
87.6,0
87.7,0
87.8,0
87.9,0
88,0
88.1,0
88.2,0
88.3,0
88.4,0
88.5,0
88.6,0
88.7,0
88.8,0
88.9,0
89,0
89.1,0
89.2,0
89.3,0
89.4,0
89.5,0
89.6,0
89.7,0
89.8,0
89.9,0
90,0
90.1,0
90.2,0
90.3,0
90.4,0
90.5,0
90.6,0
90.7,0
90.8,0
90.9,0
91,0
91.1,0
91.2,0
91.3,0
91.4,0
91.5,0
91.6,0
91.7,0
91.8,0
91.9,0
92,0
92.1,0
92.2,0
92.3,0
92.4,0
92.5,0
92.6,0
92.7,0
92.8,-55000
92.9,-55000
93,-55000
93.1,-55000
93.2,-55000
93.3,-55000
93.4,-50000
93.5,-50000
93.6,-50000
93.7,-50000
93.8,-55000
93.9,-55000
94,-55000
94.1,-55000
94.2,-55000
94.3,0
94.4,0
94.5,0
94.6,-50000
94.7,-50000
94.8,-50000
94.9,-50000
95,-50000
95.1,-50000
95.2,-50000
95.3,-45000
95.4,-45000
95.5,-45000
95.6,-45000
95.7,-45000
95.8,-5000
95.9,-5000
96,-5000
96.1,-5000
96.2,-5000
96.3,-5000
96.4,-5000
96.5,0
96.6,0
96.7,0
96.8,0
96.9,0
97,0
97.1,0
97.2,0
97.3,0
97.4,0
97.5,0
97.6,0
97.7,0
97.8,0
97.9,0
98,0
98.1,0
98.2,0
98.3,0
98.4,0
98.5,0
98.6,0
98.7,0
98.8,0
98.9,0
99,0
99.1,0
99.2,0
99.3,0
99.4,0
99.5,0
99.6,0
99.7,0
99.8,0
99.9,0
100,0
